Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/11/2023,Presenze al 16/11/2023,2023-11-17 15:31:50.351708
5,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,61684.28,9056,112148.38,16623,2023-12-16 09:45:52.203463
6,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,47870.59,7147,1385559.82,203547,2023-12-16 09:45:52.203463
7,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,41410.46,5587,7347085.56,983534,2023-12-16 09:45:52.203463
8,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,39831.42,6509,1852001.29,267316,2023-12-16 09:45:52.204462
9,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,17089.22,2412,543694.07,79349,2023-12-16 09:45:52.204462
10,HUNGER GAMES - LA BALLATA DELL'USIGNOLO E DEL SERPENTE,'2023-11-15'15/11/2023,USA,MEDUSA FILM S.P.A.,12602.15,1685,5499994.63,725725,2023-12-16 09:45:52.204462
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 16/12/2023,Presenze al 16/12/2023,2023-12-17 10:34:47.654305
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,1133583.01,145370,2101493.26,277891,2023-12-17 10:34:47.657308
2,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,453987.72,63762,783449.97,111672,2023-12-17 10:34:47.657308
3,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,303074.03,39530,707269.59,92205,2023-12-17 10:34:47.657308
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,188953.93,25817,30389550.81,4461978,2023-12-17 10:34:47.657308
5,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,148242.42,20298,260597.80,36952,2023-12-17 10:34:47.657308
6,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,127197.84,18337,1979199.13,285653,2023-12-17 10:34:47.657308
7,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,125332.61,17443,1511276.63,221055,2023-12-17 10:34:47.658304
8,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,105904.70,13381,7453008.26,996917,2023-12-17 10:34:47.658304
9,SEVENTEEN TOUR FOLLOW TO JAPAN: LIVE VIEWING,'2023-12-16'16/12/2023,KOR,INDIPENDENTI REGIONALI,66089.87,3121,66089.87,3121,2023-12-17 10:34:47.658304
10,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,33064.28,4570,576758.35,83919,2023-12-17 10:34:47.658304
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 17/12/2023,Presenze al 17/12/2023,2023-12-18 10:52:34.381445
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,1020192.73,134113,3123269.49,412328,2023-12-18 10:52:34.381445
2,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,510752.49,72632,1298765.96,185039,2023-12-18 10:52:34.381445
3,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,280286.47,37388,987746.56,129683,2023-12-18 10:52:34.381445
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,199047.01,26460,30591971.32,4488930,2023-12-18 10:52:34.381445
5,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,163714.11,23300,2143090.74,308983,2023-12-18 10:52:34.381445
6,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,129266.54,18176,389864.34,55128,2023-12-18 10:52:34.382446
7,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,123200.25,17527,1635339.88,238713,2023-12-18 10:52:34.382446
8,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,80429.25,10324,7533437.51,1007241,2023-12-18 10:52:34.382446
9,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,37888.24,5230,615026.59,89211,2023-12-18 10:52:34.382446
10,CENTO DOMENICHE,'2023-11-23'23/11/2023,ITA,VISION DISTRIBUTION,32348.33,5239,1782135.73,272245,2023-12-18 10:52:34.382446
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 18/12/2023,Presenze al 18/12/2023,2023-12-19 10:50:54.962802
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,241618.88,34418,3374915.11,448026,2023-12-19 10:50:54.967352
2,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,109848.64,20389,30704150.06,4509623,2023-12-19 10:50:54.967352
3,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,89835.79,13595,1392707.75,199222,2023-12-19 10:50:54.967352
4,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,74716.34,11004,1067713.00,141342,2023-12-19 10:50:54.968351
5,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,32437.84,5008,423114.08,60230,2023-12-19 10:50:54.968351
6,DOC. NELLE TUE MANI - STAGIONE 3,'2023-12-19'19/12/2023,ITA,LUX VIDE,24723.85,2709,24723.85,2709,2023-12-19 10:50:54.968351
7,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,21786.56,3527,1658058.94,242422,2023-12-19 10:50:54.968351
8,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,21475.34,3178,7555884.75,1010532,2023-12-19 10:50:54.968351
9,IO CAPITANO,'2023-09-07'07/09/2023,COP,01 DISTRIBUTION,16416.00,3949,4429523.46,782050,2023-12-19 10:50:54.968351
10,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,16153.17,2815,2161436.91,312094,2023-12-19 10:50:54.969354
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 19/12/2023,Presenze al 19/12/2023,2023-12-20 10:43:14.106976
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,263421.39,37290,3646501.90,486298,2023-12-20 10:43:14.112975
2,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,110167.04,16857,1504231.39,216252,2023-12-20 10:43:14.112975
3,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,108363.47,19654,30815651.23,4529913,2023-12-20 10:43:14.113976
4,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,82749.54,11992,1152657.14,153617,2023-12-20 10:43:14.113976
5,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,37750.93,5854,462634.91,66326,2023-12-20 10:43:14.113976
6,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,27294.93,4510,1685582.77,246966,2023-12-20 10:43:14.113976
7,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,24890.15,3736,7581898.90,1014551,2023-12-20 10:43:14.113976
8,DOC. NELLE TUE MANI - STAGIONE 3,'2023-12-19'19/12/2023,ITA,LUX VIDE,18930.10,2059,45720.85,5002,2023-12-20 10:43:14.113976
9,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,17726.89,3146,2180008.90,315377,2023-12-20 10:43:14.113976
10,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,14080.14,2124,645530.70,93949,2023-12-20 10:43:14.113976
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 20/12/2023,Presenze al 20/12/2023,2023-12-21 11:20:05.426650
1,WONKA,'2023-12-14'14/12/2023,USA,WARNER BROS ITALIA S.P.A.,251733.80,37960,3900191.90,524548,2023-12-21 11:20:05.431651
2,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,162175.91,21631,162175.91,21631,2023-12-21 11:20:05.432651
3,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,119705.85,23180,30935856.88,4553169,2023-12-21 11:20:05.432651
4,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,95196.16,15006,1607774.25,232576,2023-12-21 11:20:05.432651
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,81833.29,12679,1234793.53,166351,2023-12-21 11:20:05.432651
6,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,36099.75,5931,498950.36,72293,2023-12-21 11:20:05.432651
7,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,24196.86,4127,1710014.83,251132,2023-12-21 11:20:05.432651
8,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,19553.18,3494,2199575.98,318873,2023-12-21 11:20:05.432651
9,NAPOLEON,'2023-11-23'23/11/2023,USA,EAGLE PICTURES S.P.A.,17349.13,2802,7599983.73,1017521,2023-12-21 11:20:05.432651
10,LA CHIMERA,'2023-11-23'23/11/2023,ITA,01 DISTRIBUTION,16798.30,2810,662329.00,96759,2023-12-21 11:20:05.433651
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 21/12/2023,Presenze al 21/12/2023,2023-12-22 12:02:48.697408
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,214318.17,30057,4116871.68,554916,2023-12-22 12:02:48.703653
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,151593.44,23033,151593.44,23033,2023-12-22 12:02:48.703653
3,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,130616.98,17757,294909.25,39633,2023-12-22 12:02:48.703653
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,91900.40,18058,31028787.18,4571428,2023-12-22 12:02:48.703653
5,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,85179.96,13699,1694056.71,246434,2023-12-22 12:02:48.704657
6,REINASSANCE: A FILM BY BEYONCE','2023-12-21'21/12/2023,USA,NEXO DIGITAL S.P.A.,84831.00,4910,84831.00,4910,2023-12-22 12:02:48.704657
7,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,63940.13,9006,1299410.15,175467,2023-12-22 12:02:48.704657
8,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,24693.04,3612,523900.49,75944,2023-12-22 12:02:48.704657
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,21750.78,3418,35449.38,5181,2023-12-22 12:02:48.704657
10,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,19668.59,3105,19668.59,3105,2023-12-22 12:02:48.704657
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 22/12/2023,Presenze al 22/12/2023,2023-12-23 10:44:45.207576
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,360059.57,49655,4478273.85,604784,2023-12-23 10:44:45.215630
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,213365.61,32439,365244.55,55528,2023-12-23 10:44:45.215630
3,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,203338.55,26809,498503.90,66471,2023-12-23 10:44:45.215630
4,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,134996.84,26421,31163887.02,4597838,2023-12-23 10:44:45.216633
5,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,110355.40,15842,1804045.11,262195,2023-12-23 10:44:45.216633
6,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,93355.08,12902,1392851.83,188380,2023-12-23 10:44:45.216633
7,REINASSANCE: A FILM BY BEYONCE','2023-12-21'21/12/2023,USA,NEXO DIGITAL S.P.A.,58685.00,3347,143516.00,8257,2023-12-23 10:44:45.216633
8,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,31068.71,4352,554993.20,80300,2023-12-23 10:44:45.216633
9,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,30395.33,4603,50084.92,7710,2023-12-23 10:44:45.216633
10,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,25014.99,3940,61319.87,9280,2023-12-23 10:44:45.216633
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 23/12/2023,Presenze al 23/12/2023,2023-12-24 11:32:03.105757
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,630612.08,81668,5112621.23,686997,2023-12-24 11:32:03.115266
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,437968.20,61293,805916.55,117228,2023-12-24 11:32:03.116266
3,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,382479.45,47821,883548.65,114657,2023-12-24 11:32:03.116266
4,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,242817.81,33776,2050770.12,296560,2023-12-24 11:32:03.116266
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,183852.49,24215,1577908.82,212771,2023-12-24 11:32:03.116266
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,102244.68,13911,31267061.70,4611878,2023-12-24 11:32:03.116266
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,73555.46,10381,124303.28,18197,2023-12-24 11:32:03.117268
8,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,59838.55,8866,123226.92,18478,2023-12-24 11:32:03.117268
9,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,52999.41,7156,608125.11,87476,2023-12-24 11:32:03.117268
10,REINASSANCE: A FILM BY BEYONCE','2023-12-21'21/12/2023,USA,NEXO DIGITAL S.P.A.,51263.30,2938,194779.30,11195,2023-12-24 11:32:03.117268
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 24/12/2023,Presenze al 24/12/2023,2023-12-25 09:22:22.436799
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,271310.90,34791,5388211.43,722423,2023-12-25 09:22:22.437799
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,230982.15,31736,1039416.40,149394,2023-12-25 09:22:22.437799
3,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,177971.77,22013,1063715.92,137013,2023-12-25 09:22:22.437799
4,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,109397.69,14845,2160928.01,311530,2023-12-25 09:22:22.437799
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,81825.41,10609,1660454.53,223496,2023-12-25 09:22:22.437799
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,54447.27,7003,31321811.17,4618937,2023-12-25 09:22:22.437799
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,45509.15,6303,170039.73,24540,2023-12-25 09:22:22.438801
8,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,34014.16,4772,2299889.53,334552,2023-12-25 09:22:22.438801
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,30276.62,4451,154624.54,23105,2023-12-25 09:22:22.438801
10,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,19380.19,2557,627785.60,90081,2023-12-25 09:22:22.438801
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 25/12/2023,Presenze al 25/12/2023,2023-12-26 13:43:00.786091
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,608740.88,75490,5997544.31,798004,2023-12-26 13:43:00.790091
2,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,505820.33,67593,2667848.64,379298,2023-12-26 13:43:00.790091
3,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,408256.50,48816,1472048.42,185840,2023-12-26 13:43:00.791092
4,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,373457.45,49445,1413242.35,198902,2023-12-26 13:43:00.791092
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,230741.41,29086,1891591.34,252642,2023-12-26 13:43:00.791092
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,159177.55,20151,31481357.92,4639139,2023-12-26 13:43:00.791092
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,97334.18,12760,267412.91,37308,2023-12-26 13:43:00.791092
8,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,81913.00,10511,709698.60,100592,2023-12-26 13:43:00.791092
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,53409.04,7600,208033.58,30705,2023-12-26 13:43:00.791092
10,UN COLPO DI FORTUNA (COUP DE CHANCE),'2023-12-06'06/12/2023,GBR,LUCKY RED DISTRIB.,50333.14,6539,1845926.75,269740,2023-12-26 13:43:00.792091
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 26/12/2023,Presenze al 26/12/2023,2023-12-27 11:50:00.082214
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,1282077.14,162934,7283139.95,961387,2023-12-27 11:50:00.083216
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,1068840.45,145043,2485408.30,344490,2023-12-27 11:50:00.083216
3,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,865902.76,118778,3540665.90,499167,2023-12-27 11:50:00.083216
4,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,710760.95,87015,2183853.37,272964,2023-12-27 11:50:00.083216
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,398130.15,51453,2290707.99,304221,2023-12-27 11:50:00.083216
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,351721.02,45992,31834338.44,4685345,2023-12-27 11:50:00.083216
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,204756.00,27318,472543.91,64669,2023-12-27 11:50:00.083216
8,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,133533.68,17386,843260.28,117982,2023-12-27 11:50:00.083216
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,124902.99,18104,337565.87,49528,2023-12-27 11:50:00.083216
10,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,124714.46,17027,2459541.36,356175,2023-12-27 11:50:00.083216
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 26/12/2023,Presenze al 26/12/2023,2023-12-27 11:50:27.772791
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,1282077.14,162934,7283139.95,961387,2023-12-27 11:50:27.772791
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,1068840.45,145043,2485408.30,344490,2023-12-27 11:50:27.772791
3,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,865902.76,118778,3540665.90,499167,2023-12-27 11:50:27.772791
4,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,710760.95,87015,2183853.37,272964,2023-12-27 11:50:27.772791
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,398130.15,51453,2290707.99,304221,2023-12-27 11:50:27.772791
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,351721.02,45992,31834338.44,4685345,2023-12-27 11:50:27.772791
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,204756.00,27318,472543.91,64669,2023-12-27 11:50:27.773792
8,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,133533.68,17386,843260.28,117982,2023-12-27 11:50:27.773792
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,124902.99,18104,337565.87,49528,2023-12-27 11:50:27.773792
10,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,124714.46,17027,2459541.36,356175,2023-12-27 11:50:27.773792
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 26/12/2023,Presenze al 26/12/2023,2023-12-27 11:50:43.226905
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,1282077.14,162934,7283139.95,961387,2023-12-27 11:50:43.226905
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,1068840.45,145043,2485408.30,344490,2023-12-27 11:50:43.226905
3,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,865902.76,118778,3540665.90,499167,2023-12-27 11:50:43.226905
4,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,710760.95,87015,2183853.37,272964,2023-12-27 11:50:43.226905
5,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,398130.15,51453,2290707.99,304221,2023-12-27 11:50:43.226905
6,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,351721.02,45992,31834338.44,4685345,2023-12-27 11:50:43.226905
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,204756.00,27318,472543.91,64669,2023-12-27 11:50:43.227905
8,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,133533.68,17386,843260.28,117982,2023-12-27 11:50:43.227905
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,124902.99,18104,337565.87,49528,2023-12-27 11:50:43.227905
10,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,124714.46,17027,2459541.36,356175,2023-12-27 11:50:43.227905
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 27/12/2023,Presenze al 27/12/2023,2023-12-28 12:18:24.772898
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,661640.29,94145,7963299.08,1058041,2023-12-28 12:18:24.772898
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,615658.85,93191,3111506.05,439134,2023-12-28 12:18:24.772898
3,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,342621.57,47803,2532852.44,321599,2023-12-28 12:18:24.772898
4,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,268726.99,40524,3821640.19,541409,2023-12-28 12:18:24.773897
5,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,216455.06,32400,32053384.40,4718083,2023-12-28 12:18:24.773897
6,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,176503.96,25431,2469287.85,329938,2023-12-28 12:18:24.773897
7,ONE LIFE,'2023-12-21'21/12/2023,USA,EAGLE PICTURES S.P.A.,92000.04,14334,566931.55,79318,2023-12-28 12:18:24.773897
8,PRENDI IL VOLO (MIGRATION),'2023-12-07'07/12/2023,USA,UNIVERSAL S.R.L.,67250.01,10294,2528061.07,366634,2023-12-28 12:18:24.773897
9,FOGLIE AL VENTO (FALLEN LEAVES),'2023-12-21'21/12/2023,FIN,LUCKY RED DISTRIB.,61605.03,10124,410900.40,61408,2023-12-28 12:18:24.773897
10,ADAGIO,'2023-12-14'14/12/2023,ITA,VISION DISTRIBUTION,59623.22,9136,903568.80,127204,2023-12-28 12:18:24.773897
Pos.,Titolo,Prima Progr.,Nazione,Distribuzione,Incasso,Presenze,Incasso al 28/12/2023,Presenze al 28/12/2023,2023-12-29 10:36:26.623500
1,WONKA,'2023-12-14'14/12/2023,GBR,WARNER BROS ITALIA S.P.A.,531163.82,73076,8506665.40,1132957,2023-12-29 10:36:26.623500
2,WISH,'2023-12-21'21/12/2023,USA,WALT DISNEY S.M.P. ITALIA,525559.16,78615,3643734.21,518792,2023-12-29 10:36:26.623500
3,COME PUO' UNO SCOGLIO,'2023-12-28'28/12/2023,ITA,VISION DISTRIBUTION,358696.55,51097,368321.88,52633,2023-12-29 10:36:26.623500
4,AQUAMAN E IL REGNO PERDUTO (AQUAMAN AND THE LOST KINGDOM),'2023-12-20'20/12/2023,USA,WARNER BROS ITALIA S.P.A.,272264.57,36800,2807063.01,358681,2023-12-29 10:36:26.624502
5,C'E' ANCORA DOMANI,'2023-10-26'26/10/2023,ITA,VISION DISTRIBUTION,190708.94,26940,32249958.34,4745834,2023-12-29 10:36:26.624502
6,SANTOCIELO,'2023-12-14'14/12/2023,ITA,MEDUSA FILM S.P.A.,177607.08,25931,4016021.77,569801,2023-12-29 10:36:26.624502
7,FERRARI,'2023-12-07'07/12/2023,USA,01 DISTRIBUTION,120537.50,16612,2590922.35,346719,2023-12-29 10:36:26.624502
